productId,ProductName,Image,Category_Name,Price_Category,isDual,Units,PriceperUnit,MinUnitsperPlate,Units2,PriceperUnits2,MinUnits2perPlate
Sweets_28,Apple Sweet,,Sweets,,FALSE,,,,,,
Sweets_29,Pan Sweet,,Sweets,,FALSE,,,,,,
Sweets_30,Malai Cham,,Sweets,,FALSE,,,,,,
Sweets_31,Cham Cham,,Sweets,,FALSE,,,,,,
Sweets_32,Baik Lava,,Sweets,,FALSE,,,,,,
Sweets_33,Badami Kheer,,Sweets,,FALSE,,,,,,
Sweets_34,Badami Katli,,Sweets,,FALSE,,,,,,
Sweets_35,Double Ka Meeta,,Sweets,,FALSE,,,,,,
Sweets_36,Kalakand,,Sweets,,FALSE,,,,,,
Sweets_37,Beng Sweet,,Sweets,,FALSE,,,,,,
Sweets_38,Bengoli Sandwish,,Sweets,,FALSE,,,,,,
Sweets_39,Bangoli Rasp,,Sweets,,FALSE,,,,,,
Sweets_40,Munntha Laddu,,Sweets,,FALSE,,,,,,
Pickles_1,Gongura Pachadi,,Pickles,,FALSE,,,,,,
Pickles_2,Mango Red Chilli Pachadi,,Pickles,,FALSE,,,,,,
Pickles_3,Allam Pachadi,,Pickles,,FALSE,,,,,,
Pickles_4,Mango Pachadi,,Pickles,,FALSE,,,,,,
Pickles_5,Mango Mukkala Pachadi,,Pickles,,FALSE,,,,,,
Pickles_6,Cobbarri Pachadi,,Pickles,,FALSE,,,,,,
Pickles_7,Perugupu Pachadi,,Pickles,,FALSE,,,,,,
Pickles_8,Pudina Pachadi,,Pickles,,FALSE,,,,,,
Pickles_9,Red Chilly Pachadi,,Pickles,,FALSE,,,,,,
Pickles_10,Tomato Roti Pachadi,,Pickles,,FALSE,,,,,,
Pickles_11,Beerakaya Pachadi,,Pickles,,FALSE,,,,,,
Pickles_12,Tomato Avakaya,,Pickles,,FALSE,,,,,,
Pickles_13,Dosakaya Avakaya,,Pickles,,FALSE,,,,,,
Pickles_14,Mango Avakaya,,Pickles,,FALSE,,,,,,
Pickles_15,Cauliflower Avakaya,,Pickles,,FALSE,,,,,,
Pickles_16,Dondakaya Avakaya,,Pickles,,FALSE,,,,,,
Pickles_17,Carrot Avakaya,,Pickles,,FALSE,,,,,,
Pickles_18,Cabbage Avakaya,,Pickles,,FALSE,,,,,,
Pickles_19,Dosakaya Vankaya,,Pickles,,FALSE,,,,,,
Pickles_20,Kandi Cobbankaya,,Pickles,,FALSE,,,,,,
Pickles_21,Kandi Podi,,Pickles,,FALSE,,,,,,
Welcome Drinks_1,Soft Drinks,,Welcome Drinks,,FALSE,,,,,,
Welcome Drinks_2,Orange Juice,,Welcome Drinks,,FALSE,,,,,,
Welcome Drinks_3,Apple Juice,,Welcome Drinks,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
,,,,,FALSE,,,,,,
